User Input,Chatbot Response,Timestamp
hello,Hi there,2024-09-10 01:21:51
how are you ,My purpose is to assist you,2024-09-10 01:21:57
weather ,"I'm sorry, I cannot provide real-time weather information.",2024-09-10 01:22:20
How do I create a budget,"To make a budget, start by tracking your income and expenses. Then, allocate your income towards essential expenses like rent, food, and bills. Next, allocate some of your income towards savings and debt repayment. Finally, allocate the remainder of your income towards discretionary expenses like entertainment and hobbies.",2024-09-10 01:22:30
Today is a nice weather,"I'm sorry, I cannot provide real-time weather information.",2024-10-03 08:29:52
How's the weather today,"I'm sorry, I cannot provide real-time weather information.",2024-10-03 08:30:47
Hi,Hello,2024-10-03 08:30:56
hello guys ,Hi there,2024-12-10 11:10:43
hello guys ,Nothing much,2024-12-10 11:21:45
hello guys ,Hello,2024-12-10 12:13:01
Hello ,Hey,2024-12-10 19:07:56
hello can you tell me a rhyme,"I'm fine, thank you",2024-12-10 19:08:32
Hello how are you,Nothing much,2024-12-10 19:08:57
Hello ! How are you?,Nothing much,2024-12-10 19:09:23
Hello  wassup!,Hey,2024-12-10 19:11:11
"""Hi there!""","I'm fine, thank you",2024-12-10 19:12:56
Hello Good Morning,"I'm fine, thank you",2024-12-10 19:14:04
Good Morning,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2024-12-10 19:14:17
Good Morning,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2024-12-10 19:15:06
gardening tips,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2024-12-10 19:15:38
Gardening tips,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2024-12-10 19:15:55
What's up,Nothing much,2024-12-10 19:17:39
Good Bye,Goodbye,2024-12-10 19:28:58
